id	px	py	stellar_mass
8062500279	-8.614162e+00	+8.860353e+00	+1.043287e+06
8062501167	+2.974339e-01	-3.664577e+00	+4.297643e+05
8062501427	+8.344041e+00	+8.340997e+00	+7.387323e+05
8062501496	-8.556439e+00	+2.238817e+00	+5.438191e+05
8062501604	+8.931160e+00	+6.382725e-01	+3.047997e+06
8062501731	-3.761347e+00	-4.414499e+00	+7.055255e+05
8062503110	+5.098212e+00	+2.957611e+00	+2.245242e+06
8062503113	+7.517599e+00	+6.949761e-01	+1.484726e+06
8062503471	-5.941649e+00	-7.112742e+00	+7.072179e+06
8062503610	+6.470374e+00	-6.557265e+00	+2.940338e+05
8062504073	-1.099922e+00	-3.093673e+00	+1.198203e+06
8062504191	+8.171901e+00	-1.312195e-01	+1.944991e+06
8062504234	+9.817158e-01	-5.494729e+00	+2.223510e+06
8062504534	+7.518067e+00	-7.002273e+00	+2.082399e+06
8062504535	+2.368897e+00	+2.835939e+00	+3.623265e+06
8062504700	-7.870481e+00	-1.277542e+00	+2.530495e+06
8062504704	-1.700404e+00	+2.898880e+00	+3.541053e+06
8062504935	+3.332218e+00	+6.378485e-01	+7.012941e+05
8062506036	-6.912011e+00	-1.829043e+00	+4.227878e+06
8062507023	-6.179297e-01	+1.622894e-01	+2.190082e+06
8062507049	+3.930689e+00	+5.502825e+00	+4.133332e+05
8062507105	+8.521573e+00	-5.799834e+00	+1.729660e+06
8062507331	-7.371343e+00	+8.427873e+00	+4.574815e+05
8062507362	-5.103188e+00	+2.790091e+00	+2.780760e+06
8062507519	+5.572095e+00	-1.522969e-02	+2.898167e+06
8062508633	+5.529703e+00	+5.688814e+00	+4.763024e+05
8062508860	+6.882076e+00	-1.028477e+00	+5.407798e+06
8062508976	+5.937610e-01	+7.612296e+00	+2.562958e+06
8062509500	-7.777398e+00	-1.299854e+00	+1.141988e+07
8062509835	+5.778869e+00	+7.930038e+00	+1.290248e+08
8062511215	-3.223484e+00	-9.099178e+00	+2.749720e+07
8062512428	-6.474988e+00	+5.517549e+00	+1.217638e+07
8062512507	+2.474935e+00	+3.977557e+00	+9.105601e+06
8062512861	-8.743486e+00	+4.673499e+00	+1.245630e+06
8062512989	-5.894958e+00	+6.153048e+00	+6.728016e+06
8062513825	+9.042280e+00	+9.000698e+00	+1.266976e+07
8062514487	-7.198270e+00	+9.486389e+00	+4.923543e+05
8062514664	+5.941403e+00	-7.710966e+00	+4.241158e+06
8062516036	+7.698801e+00	-8.874616e+00	+4.122450e+07
8062516674	+1.748157e+00	-5.714793e+00	+3.911345e+08
8062517618	-6.947649e+00	-1.644702e+00	+6.903527e+06
8062518888	+5.360666e+00	-4.945620e+00	+4.233354e+06
8062519461	+8.222980e+00	-8.328889e+00	+1.711756e+06
8062521784	+9.731608e+00	+2.310398e+00	+8.423929e+05
8062522837	-6.566667e+00	-6.834235e+00	+5.416626e+05
8062523108	+3.041727e+00	+7.809886e+00	+1.589701e+06
8062523171	-7.773156e+00	+3.232886e+00	+3.602390e+06
8062524473	+6.394676e+00	+6.067244e+00	+1.955938e+06
8062525623	-6.836077e+00	+9.100282e-01	+1.484804e+06
8062525855	+7.762524e+00	+2.592173e+00	+4.063920e+06
8062526354	-8.194855e+00	-6.446910e-01	+6.279219e+05
8062528257	+3.110848e+00	+7.429577e+00	+5.698009e+07
8062528599	-7.018346e+00	-1.461526e+00	+8.865575e+07
8062529504	+2.829302e-01	+1.180345e+00	+2.545626e+08
8062529861	-7.110760e+00	-2.227891e+00	+1.565076e+06
8062530406	-2.079404e+00	+6.265862e+00	+1.754450e+06
8062530726	+6.342821e+00	+7.858825e-01	+6.382566e+05
8062530922	-5.222406e+00	+6.065904e+00	+1.193455e+06
8062531264	+3.346906e+00	-2.960416e+00	+2.059610e+06
8062532239	+8.248573e+00	+9.238194e+00	+3.588912e+07
8062533175	-3.469560e+00	+7.675795e-01	+2.904738e+06
8062533449	-1.827168e+00	+4.205039e+00	+4.626190e+05
8062534705	-4.116155e+00	-5.915721e+00	+8.046954e+05
8062535503	+7.340638e+00	+6.527400e+00	+4.451886e+06
8062536417	-4.044923e+00	-2.725150e+00	+2.554286e+06
8062536453	+7.420379e+00	+2.249378e-01	+9.873739e+05
8062546034	-4.937338e+00	+8.255540e+00	+1.900312e+06
8062546134	-5.447514e+00	+3.259278e+00	+1.219361e+06
8062546336	+2.013548e-01	-8.576864e+00	+1.921841e+06
8062546462	+1.990389e+00	+6.471312e+00	+2.135865e+06
8062546951	+1.073178e+00	+4.871233e+00	+6.980450e+05
8062547072	+1.352751e+00	+7.085344e+00	+2.152836e+06
8062547493	-8.253181e-01	-8.115931e+00	+8.222824e+05
8062549393	+2.000961e+00	+1.925298e+00	+2.193150e+06
8062549540	+1.859528e+00	-8.248226e+00	+9.607156e+05
8062549868	-2.599785e-01	+7.422056e+00	+2.977530e+06
8062550019	-7.607385e+00	+1.716367e-01	+2.253140e+06
8062550736	-8.219747e+00	-6.125817e+00	+2.672566e+06
8062551023	-6.896214e+00	+8.994279e-01	+2.052753e+06
8062551447	+7.431411e+00	-4.067217e+00	+4.044649e+06
8062552166	-1.594871e+00	-4.488293e+00	+2.424122e+06
8062552417	-3.893092e-01	-3.481499e+00	+2.052086e+06
8062554058	+1.906814e+00	-3.871497e-01	+1.339588e+06
8062554530	-4.554623e-01	-8.021838e+00	+3.415303e+06
8062554574	-2.581434e+00	+6.912843e+00	+2.126128e+06
8062554656	-2.369417e+00	-5.100430e+00	+7.829177e+05
8062555626	+3.910835e+00	-2.504929e+00	+1.550026e+06
8062556179	-7.178603e+00	-8.176494e+00	+1.827992e+06
8062556379	+4.893734e+00	+8.661027e+00	+2.872261e+06
8062557345	+3.106735e+00	-5.967114e-01	+1.354159e+06
8062559016	+1.848944e+00	-4.474417e+00	+3.223292e+06
8062559335	+7.371888e+00	+6.951152e+00	+6.581561e+05
8062559713	-6.533946e+00	+8.088645e+00	+1.718429e+06
8062560208	+3.503873e+00	+3.926445e-01	+1.160898e+06
8062562960	+1.566731e+00	+4.735291e-01	+4.115191e+06
8062564627	-4.015347e+00	-7.024145e+00	+2.439096e+06
8062564987	+4.395347e+00	-7.784508e+00	+1.443798e+06
8062565293	+7.343694e+00	-6.834144e-03	+6.945878e+06
8062565465	+8.143291e+00	+9.796639e-01	+2.277359e+06
8062565718	-8.403811e+00	+5.387253e+00	+1.080292e+06
8062566410	+5.748771e+00	-4.249867e+00	+3.851169e+06
8062568570	+1.851053e+00	-2.833201e+00	+1.396209e+06
8062568713	-7.189923e+00	-8.395592e+00	+3.491129e+06
8062569159	+7.443800e+00	+1.289094e+00	+1.877883e+06
8062569526	+4.460972e+00	-6.561174e+00	+6.745402e+06
8062570418	-1.985180e+00	-8.430091e+00	+3.016808e+06
8062570706	-4.618597e+00	-5.056671e+00	+2.478530e+06
8062571357	-3.291990e+00	+6.890397e+00	+5.460546e+06
8062571811	+5.425737e+00	-2.687819e+00	+4.386924e+06
8062572485	-2.076286e+00	+7.877497e+00	+2.101564e+06
8062573308	+3.199124e+00	+1.303718e+00	+2.088811e+06
8062573324	-3.806813e+00	+3.382731e+00	+1.878940e+06
8062573341	+3.845306e-01	-4.825018e+00	+1.215392e+06
8062573708	+2.356016e-01	-4.981454e+00	+3.335904e+06
8062573836	+4.472816e+00	-7.659382e+00	+3.864035e+06
8062573912	+1.050128e+00	-2.568687e+00	+1.936988e+06
8062574004	+3.208006e+00	-1.908640e+00	+1.352322e+06
8062574538	-8.079535e+00	-4.333120e+00	+1.623632e+06
8062575103	-4.034635e+00	+8.193958e+00	+2.790408e+06
8062575185	-8.228250e+00	+2.627202e+00	+7.917736e+05
8062575959	+3.219437e+00	+2.406072e+00	+3.333861e+06
8062577096	+7.293029e+00	-1.974548e+00	+1.898951e+06
8062577109	-2.598978e+00	+2.496992e+00	+1.734491e+06
8062578838	+2.655045e-01	-2.997537e+00	+3.306022e+06
8062579361	-4.403515e-01	-9.374948e+00	+1.944556e+06
8062580001	+6.523057e+00	+8.209976e+00	+2.945041e+06
8062580385	+1.922931e+00	+3.695898e+00	+2.637236e+06
8062580786	-5.867245e+00	+2.730135e+00	+1.389688e+06
8062580933	-2.444965e+00	-3.757197e-01	+8.328040e+05
8062581098	-8.126557e+00	+2.459915e+00	+1.898986e+06
8062582045	+2.719362e+00	+7.311732e+00	+1.888250e+06
8062589582	+1.988331e+00	+2.178026e+00	+1.352362e+06
8062589712	-3.003319e+00	-5.760693e+00	+1.599862e+06
8062589724	+6.260027e+00	-8.685951e-02	+4.608263e+06
8062591655	+3.539564e+00	-8.891544e+00	+1.754081e+06
8062592180	-2.649020e+00	-5.941619e+00	+1.331094e+06
8062593378	-6.216445e+00	-7.116830e+00	+2.642586e+06
8062593460	-7.235509e+00	+6.442267e+00	+1.701079e+06
8062594223	-3.999656e-01	-9.279625e+00	+3.968771e+06
8062594595	+3.817175e+00	+1.654430e+00	+4.960630e+06
8062595075	-1.893740e+00	-5.293612e+00	+8.904322e+05
8062595453	-9.023623e+00	-2.956455e+00	+5.088252e+06
8062595725	+8.450127e-01	-1.140581e+00	+1.886865e+07
8062596095	+6.142681e+00	-5.084591e+00	+1.867050e+06
8062598038	+6.135261e+00	+1.896103e+00	+2.027110e+06
8062598747	+2.975842e+00	-5.772119e+00	+1.925304e+06
8062599134	+7.161972e+00	+4.404694e-01	+9.111372e+06
8062599189	+2.329763e+00	+2.852796e+00	+5.704205e+06
8062599333	-4.434610e+00	+2.639069e+00	+7.073267e+06
8062601096	+8.117226e+00	-5.219389e+00	+4.063661e+06
8062601825	+1.048657e+00	+1.381568e+00	+7.924495e+06
8062603420	+1.836576e+00	+5.683626e+00	+1.455135e+06
8062604007	+1.423567e+00	+9.492955e+00	+2.575226e+06
8062605601	+8.339842e+00	-8.608088e+00	+1.441845e+06
8062606238	-8.643632e+00	+8.712525e+00	+2.155768e+06
8062606507	-2.266264e+00	+7.926794e+00	+6.761948e+06
8062607048	+7.285052e+00	-7.071060e+00	+4.736008e+06
8062607488	-3.603232e+00	+2.481914e+00	+3.504472e+06
8062607513	-7.268931e+00	+3.981521e+00	+3.182632e+06
8062607888	-5.894972e+00	+5.174150e+00	+4.998954e+06
8062608854	-6.775136e-01	-8.669028e+00	+3.027612e+06
8062609115	+1.496665e+00	+3.306466e+00	+2.434374e+06
8062609209	+7.126260e+00	-6.980543e+00	+4.432370e+06
8062609564	-4.218481e+00	+2.187369e-01	+8.969695e+06
8062609764	+1.542275e+00	+4.225743e-01	+3.716590e+06
8062612225	-7.924735e+00	-9.596860e+00	+3.024060e+06
8062612397	-4.172259e+00	+5.634856e+00	+3.889402e+06
8062612538	+8.375596e+00	-3.348291e+00	+3.512777e+06
8062613126	-1.093150e+00	-1.022762e+00	+1.981002e+06
8062613292	-2.010605e+00	-7.312112e+00	+1.095689e+06
8062613973	-4.831066e+00	+8.494364e+00	+1.443925e+06
8062622886	-5.718136e+00	-2.399966e+00	+5.599804e+06
8062623021	-2.387349e+00	-1.105694e+00	+6.087392e+06
8062623203	-6.550472e+00	-1.175316e+00	+3.757460e+06
8062623533	-1.804474e+00	+5.610278e+00	+3.513612e+06
8062626241	+2.933507e+00	+7.075423e+00	+2.624561e+06
8062627158	-3.229294e+00	-1.663610e+00	+4.095346e+06
8062627769	+4.972373e+00	+6.595474e+00	+3.937834e+06
8062629018	+8.208518e+00	-1.950910e+00	+9.898633e+06
8062629797	+7.919135e+00	-4.488503e+00	+2.006270e+06
8062630609	+8.423723e+00	-5.610819e+00	+3.037418e+06
8062630628	-8.102035e-01	-6.857265e+00	+3.281628e+06
8062631003	+5.880941e+00	-7.004576e+00	+4.125227e+06
8062631788	-7.390789e+00	-8.750034e+00	+2.835035e+06
8062632911	+5.745837e+00	+4.147057e+00	+1.486787e+06
8062633844	-3.315624e+00	+6.999880e+00	+1.301395e+07
8062635366	+2.411153e-01	-8.287896e+00	+9.907973e+06
8062635646	-3.999651e+00	+4.088396e+00	+1.695241e+07
8062636146	+1.692390e+00	+4.139410e+00	+1.836670e+06
8062636716	-6.457982e+00	+2.944570e+00	+7.050586e+06
8062637095	+5.893028e+00	-4.214148e+00	+3.316365e+06
8062637668	+3.715038e+00	-8.809134e+00	+1.752508e+06
8062637737	+6.690173e+00	-7.982296e+00	+3.771810e+06
8062638414	+1.158997e+00	-8.638324e+00	+4.303579e+06
8062638868	+1.964683e+00	+4.057221e+00	+3.728463e+06
8062640056	+7.455959e+00	-1.125667e+00	+4.325447e+06
8062640179	+8.803451e-01	-5.398519e+00	+3.542619e+06
8062641338	-5.705894e-01	+2.292145e+00	+3.484998e+06
8062641379	+4.057738e+00	-7.223913e-01	+1.733584e+06
8062641578	+9.116631e-01	+2.045141e+00	+1.608568e+06
8062641967	+4.980767e+00	+4.366514e+00	+1.999477e+06
8062642658	+6.121875e+00	-2.940149e+00	+3.639796e+06
8062643442	-5.859107e+00	-8.989374e+00	+2.559942e+06
8062646374	+7.868458e+00	-6.419018e+00	+4.687456e+06
8062647168	+3.409119e+00	+6.562741e-01	+1.102910e+07
8062647190	-3.092399e+00	+2.137907e+00	+4.432206e+06
8062647426	+6.751580e+00	-4.974901e+00	+6.051939e+06
8062647484	+8.637445e+00	+2.007016e+00	+1.232363e+07
8062647505	-2.527164e+00	-6.996577e+00	+3.201394e+06
8062647964	+7.694241e+00	+2.518469e+00	+6.090956e+06
8062648443	+8.223013e+00	+3.237569e+00	+1.049915e+07
8062648787	+1.009734e+00	-1.553621e-01	+6.014284e+06
8062648847	-6.766517e+00	+1.692234e+00	+2.191150e+06
8062649053	-2.418856e+00	-4.966483e+00	+5.671463e+06
8062655770	+3.049832e+00	+2.250857e+00	+1.572692e+07
8062658457	-4.733800e+00	-9.424618e-01	+1.219754e+07
8062660219	-2.235919e+00	+6.817038e+00	+2.256724e+06
8062660814	+5.417614e+00	-1.792912e+00	+1.846629e+06
8062661936	-2.381600e+00	+2.753159e-01	+6.588118e+06
8062662285	+3.799062e+00	+2.590555e+00	+7.074030e+06
8062663354	-8.251462e+00	-4.172112e-01	+4.839562e+06
8062663828	+2.159803e+00	+2.484247e+00	+2.449811e+07
8062664746	-1.281117e+00	+4.282246e+00	+5.848902e+06
8062665018	+2.487293e+00	+2.289939e+00	+2.959686e+06
